gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_total_cap
AL,FL,1990,1021445,1021445
AL,FL,1994,124440,1145885
AL,FL,1995,554795,1700680
AL,FL,1996,0,1700680
AL,FL,1997,0,1700680
AL,FL,1998,25925,1726605
AL,FL,1999,0,1726605
AL,FL,2000,0,1726605
AL,FL,2001,207400,1934005
AL,GA,1990,5052264,5052264
AL,GA,1994,90219,5142483
AL,GA,1995,119255,5261738
AL,GA,1996,57035,5318773
AL,GA,1997,150365,5469138
AL,GA,1998,157624,5626762
AL,GA,1999,0,5626762
AL,GA,2000,207400,5834162
AL,GA,2001,17629,5851791
AL,MS,1990,155550,155550
AL,MS,1994,51850,207400
AL,MS,1995,0,207400
AL,MS,1996,0,207400
AL,MS,1997,0,207400
AL,MS,1998,0,207400
AL,MS,1999,0,207400
AL,MS,2000,0,207400
AL,MS,2001,0,207400
AL,TN,1990,3887713,3887713
AL,TN,1994,346358,4234071
AL,TN,1995,0,4234071
AL,TN,1996,0,4234071
AL,TN,1997,0,4234071
AL,TN,1998,0,4234071
AL,TN,1999,0,4234071
AL,TN,2000,0,4234071
AL,TN,2001,0,4234071
AR,LA,1990,732122,732122
AR,LA,1994,0,732122
AR,LA,1995,0,732122
AR,LA,1996,0,732122
AR,LA,1997,0,732122
AR,LA,1998,0,732122
AR,LA,1999,0,732122
AR,LA,2000,0,732122
AR,LA,2001,0,732122
AR,MO,1990,2915007,2915007
AR,MO,1994,0,2863157
AR,MO,1995,0,2863157
AR,MO,1996,2074,2865231
AR,MO,1997,0,2863157
AR,MO,1998,0,2863157
AR,MO,1999,0,2863157
AR,MO,2000,0,2863157
AR,MO,2001,0,2863157
AR,MS,1990,8822796,8822796
AR,MS,1994,198067,9020863
AR,MS,1995,0,9020863
AR,MS,1996,0,9020863
AR,MS,1997,0,9020863
AR,MS,1998,0,9020863
AR,MS,1999,0,9020863
AR,MS,2000,0,8756428
AR,MS,2001,0,8756428
AR,OK,1990,20740,20740
AR,OK,1994,0,20740
AR,OK,1995,0,20740
AR,OK,1996,0,20740
AR,OK,1997,0,20740
AR,OK,1998,0,20740
AR,OK,1999,0,20740
AR,OK,2000,0,20740
AR,OK,2001,0,20740
AR,TX,1990,658495,658495
AR,TX,1994,119255,777750
AR,TX,1995,0,777750
AR,TX,1996,0,777750
AR,TX,1997,0,777750
AR,TX,1998,0,777750
AR,TX,1999,0,777750
AR,TX,2000,0,777750
AR,TX,2001,0,777750
AZ,CA,1990,3608760,3608760
AZ,CA,1994,1394765,5003525
AZ,CA,1995,0,5003525
AZ,CA,1996,0,5003525
AZ,CA,1997,0,5003525
AZ,CA,1998,0,5003525
AZ,CA,1999,0,5003525
AZ,CA,2000,0,5003525
AZ,CA,2001,0,5003525
AZ,NV,1990,171105,171105
AZ,NV,1994,0,171105
AZ,NV,1995,0,171105
AZ,NV,1996,0,171105
AZ,NV,1997,0,171105
AZ,NV,1998,0,171105
AZ,NV,1999,0,171105
AZ,NV,2000,0,171105
AZ,NV,2001,0,171105
CA,AZ,1990,0,0
CA,AZ,1994,0,0
CA,AZ,1995,0,0
CA,AZ,1996,0,0
CA,AZ,1997,0,0
CA,AZ,1998,0,0
CA,AZ,1999,0,0
CA,AZ,2000,0,0
CA,AZ,2001,0,0
CA,NV,1990,0,0
CA,NV,1994,0,0
CA,NV,1995,111996,111996
CA,NV,1996,0,111996
CA,NV,1997,0,111996
CA,NV,1998,0,111996
CA,NV,1999,0,111996
CA,NV,2000,0,111996
CA,NV,2001,0,111996
CO,KS,1990,435540,435540
CO,KS,1994,31110,466650
CO,KS,1995,0,466650
CO,KS,1996,0,466650
CO,KS,1997,31110,497760
CO,KS,1998,0,497760
CO,KS,1999,0,497760
CO,KS,2000,89182,586942
CO,KS,2001,0,586942
CO,NE,1990,442799,442799
CO,NE,1994,0,442799
CO,NE,1995,0,442799
CO,NE,1996,0,442799
CO,NE,1997,497760,940559
CO,NE,1998,0,940559
CO,NE,1999,0,940559
CO,NE,2000,0,940559
CO,NE,2001,0,940559
CO,NM,1990,614941,614941
CO,NM,1994,402356,1017297
CO,NM,1995,54961,1072258
CO,NM,1996,255102,1327360
CO,NM,1997,0,1327360
CO,NM,1998,145180,1472540
CO,NM,1999,311100,1783640
CO,NM,2000,0,1783640
CO,NM,2001,0,1783640
CO,OK,1990,207400,207400
CO,OK,1994,51850,259250
CO,OK,1995,0,259250
CO,OK,1996,0,259250
CO,OK,1997,0,259250
CO,OK,1998,0,259250
CO,OK,1999,0,259250
CO,OK,2000,0,259250
CO,OK,2001,86071,345321
CO,UT,1990,428281,428281
CO,UT,1994,0,428281
CO,UT,1995,0,428281
CO,UT,1996,0,428281
CO,UT,1997,0,428281
CO,UT,1998,0,428281
CO,UT,1999,0,428281
CO,UT,2000,0,428281
CO,UT,2001,0,428281
CO,WY,1990,463539,463539
CO,WY,1994,309026,772565
CO,WY,1995,0,772565
CO,WY,1996,0,772565
CO,WY,1997,108885,881450
CO,WY,1998,0,881450
CO,WY,1999,0,881450
CO,WY,2000,0,881450
CO,WY,2001,0,881450
CT,MA,1990,82960,82960
CT,MA,1994,0,82960
CT,MA,1995,0,82960
CT,MA,1996,0,82960
CT,MA,1997,0,82960
CT,MA,1998,0,82960
CT,MA,1999,0,82960
CT,MA,2000,0,82960
CT,MA,2001,0,82960
CT,NY,1990,0,0
CT,NY,1994,259250,259250
CT,NY,1995,0,259250
CT,NY,1996,0,259250
CT,NY,1997,0,259250
CT,NY,1998,36295,295545
CT,NY,1999,0,295545
CT,NY,2000,0,295545
CT,NY,2001,0,295545
CT,RI,1990,689605,689605
CT,RI,1994,98515,788120
CT,RI,1995,0,788120
CT,RI,1996,0,788120
CT,RI,1997,0,788120
CT,RI,1998,0,788120
CT,RI,1999,0,788120
CT,RI,2000,0,788120
CT,RI,2001,0,788120
DE,MD,1990,10370,10370
DE,MD,1994,0,10370
DE,MD,1995,0,10370
DE,MD,1996,0,10370
DE,MD,1997,5185,15555
DE,MD,1998,1037,16592
DE,MD,1999,0,16592
DE,MD,2000,0,16592
DE,MD,2001,0,16592
DE,NJ,1990,0,0
DE,NJ,1994,146217,146217
DE,NJ,1995,0,146217
DE,NJ,1996,0,146217
DE,NJ,1997,0,146217
DE,NJ,1998,0,146217
DE,NJ,1999,0,146217
DE,NJ,2000,0,146217
DE,NJ,2001,0,146217
GA,FL,1990,44591,44591
GA,FL,1994,13481,58072
GA,FL,1995,0,58072
GA,FL,1996,0,58072
GA,FL,1997,0,58072
GA,FL,1998,0,58072
GA,FL,1999,0,58072
GA,FL,2000,0,58072
GA,FL,2001,0,58072
GA,SC,1990,3315289,3315289
GA,SC,1994,50813,3366102
GA,SC,1995,119255,3485357
GA,SC,1996,57035,3542392
GA,SC,1997,197030,3739422
GA,SC,1998,0,3739422
GA,SC,1999,0,3739422
GA,SC,2000,0,3739422
GA,SC,2001,0,3739422
GA,TN,1990,46665,46665
GA,TN,1994,0,46665
GA,TN,1995,11407,58072
GA,TN,1996,0,58072
GA,TN,1997,0,58072
GA,TN,1998,98515,156587
GA,TN,1999,0,156587
GA,TN,2000,0,156587
GA,TN,2001,0,156587
IA,IL,1990,2878712,2878712
IA,IL,1994,119255,2997967
IA,IL,1995,51850,3049817
IA,IL,1996,22814,3072631
IA,IL,1997,0,3072631
IA,IL,1998,808860,3881491
IA,IL,1999,0,3881491
IA,IL,2000,1692384,5573875
IA,IL,2001,202215,5776090
IA,MN,1990,1265140,1265140
